"ConstituencyCode","Constituency","Nominate","NominateAlias","Gender","Occupation","Politics","NominateDate","Remarks","Candidate"
"P04","TAI YUEN","AU Chun-ho","","M","Councillor's Assistant","The Democratic Party","5/10/2015","","AU CHUN HO"
"P04","TAI YUEN","CHENG Chun-ping","","M","*Full-time District Councillor","DAB","8/10/2015","","CHENG CHUN PING"
"P05","FU HENG","WONG Chau-pak","","M","D.C. Member","DAB","8/10/2015","","WONG CHAU PAK"
"P05","FU HENG","YAM Man-chuen","","M","","","8/10/2015","","YAM MAN CHUEN"
"P06","YEE FU","YAM Kai-bong","","M","Full-time District Councillor","Neo Democrats","5/10/2015","","YAM KAI BONG"
"P06","YEE FU","CHEUNG Fung-yin","","F","","DAB","8/10/2015","","CHEUNG FUNG YIN"
"P07","FU MING SUN","CHAN Yung-wa","","M","Financial Services","*FTU","2/10/2015","","CHAN YUNG WA"
"P07","FU MING SUN","KWAN Wing-yip","","M","Full-time District Councillor","Neo-Democrats","5/10/2015","","KWAN WING YIP"
"P08","KWONG FUK & PLOVER COVE","WONG Pik-kiu","","F","*Social Worker/Full-time District Council Member","Democratic Alliance for the Betterment and Progress of Hong Kong","8/10/2015","","WONG PIK KIU"
"P08","KWONG FUK & PLOVER COVE","KWOK Shu-yan","","M","Office Assistant","","14/10/2015","","KWOK SHU YAN"
"P08","KWONG FUK & PLOVER COVE","CHOW Benjamin","","M","Community Worker","","15/10/2015","","CHOW BENJAMIN"
"P09","WANG FUK","MAN Nim-chi","","M","Councillor's Assistant","The Democratic Party","5/10/2015","","MAN NIM CHI"
"P09","WANG FUK","Woo Kin-man Clement","","M","Management","Democratic Alliance for the Betterment and Progress of Hong Kong","8/10/2015","","WOO KIN MAN CLEMENT"
"P10","TAI PO KAU","CHAN Siu-kuen","","M","District Councilor","","7/10/2015","","CHAN SIU KUEN"
"P11","WAN TAU TONG","YU Chi-wing","Ken","M","Administrator/D.C. Member","*Independent Candidates","7/10/2015","","YU CHI WING"
"P11","WAN TAU TONG","CHENG Wai","","M","","","8/10/2015","","CHENG WAI"
"P12","SAN FU","WU Kam-fai","","M","Commerce Director","","2/10/2015","","WU KAM FAI"
"P12","SAN FU","KWOK Wing-kin","","M","Full-time District Councilor","Labour Party","8/10/2015","","KWOK WING KIN"
"P12","SAN FU","LO Hiu-fung","","M","*Media Officer","*Non-affiliated Candidate","9/10/2015","","LO HIU FUNG"
"P13","LAM TSUEN VALLEY","CHAN Cho-leung","","M","Full Time District Council Member","Business and Professionals Alliance for Hong Kong","2/10/2015","","CHAN CHO LEUNG"
"P13","LAM TSUEN VALLEY","LAM Chun-cheung","","M","Golf Coach","","8/10/2015","","LAM CHUN CHEUNG"
"P13","LAM TSUEN VALLEY","WAN Yuk-wing","","M","Fin Tech Engineer","Independent Candidate","12/10/2015","","WAN YUK WING"
"P14","PO NGA","CHOW Yuen-wai","","M","Legislative Councilor Assistant","Neo Democrats","5/10/2015","","CHOW YUEN WAI"
"P14","PO NGA","WONG Yung-kan","","M","","DAB","8/10/2015","","WONG YUNG KAN"
"P15","TAI WO","CHENG Chun-wo","","M","Member of the District Council","","2/10/2015","","CHENG CHUN WO"
"P16","OLD MARKET & SERENITY","LAU Yung-wai","","M","Community Officer","Independent Candidate","2/10/2015","","LAU YUNG WAI"
"P16","OLD MARKET & SERENITY","CHEUNG Kwok-wai","","M","COO","DAB","8/10/2015","","CHEUNG KWOK WAI"
"P17","HONG LOK YUEN","TANG Ming-tai Patrick","","M","BSc. Building Engineer","","8/10/2015","","TANG MING TAI PATRICK"
"P17","HONG LOK YUEN","MAN Chen-fai","","M","Executive Adviser","BPA Services Company Limited","9/10/2015","","MAN CHEN FAI"
"P18","SHUEN WAN","LAU Chee-sing","Dr.","M","District Councilor/Registered Structural Engineer","*Independent Candidate","3/10/2015","","LAU CHEE SING"
"P19","SAI KUNG NORTH","LEE Kwai-yau Victor","","M","E&C Engineer","","5/10/2015","","LEE KWAI YAU VICTOR"
"P19","SAI KUNG NORTH","LI Wah-kwong Rex","","M","Director","BPA","12/10/2015","","LI WAH KWONG REX"
"Q01","SAI KUNG CENTRAL","NG Sze-fuk","","M","Director","DAB","2/10/2015","","NG SZE FUK"
"Q01","SAI KUNG CENTRAL","CHEUNG Sze-kit Alan","","M","Administrative Director","Independent Candidate","13/10/2015","","CHEUNG SZE KIT ALAN"
"Q02","PAK SHA WAN","HIEW Moo-siew","","M","District Councilor","DAB","2/10/2015","","HIEW MOO SIEW"
"Q02","PAK SHA WAN","PO Wai-ming","","M","Architect","Independent Candidate","13/10/2015","","PO WAI MING"
"Q03","SAI KUNG ISLANDS","LI Ka-leung Philip","","M","District Councilor","DAB","2/10/2015","","LI KA LEUNG PHILIP"
"Q04","HANG HAU EAST","LAU Wai-cheung Peter","*","M","Full-Time District Councilor","","2/10/2015","","LAU WAI CHEUNG PETER"
"Q04","HANG HAU EAST","LAU Man-choi Newman","","M","Religious Culture Freelancer","Independent","8/10/2015","","LAU MAN CHOI NEWMAN"
"Q05","HANG HAU WEST","YAU Yuk-lun","","M","Elected District Councilor /Technical Officer","DAB","2/10/2015","","YAU YUK LUN"
"Q05","HANG HAU WEST","LUK Sau-ching","","F","Policy Research Officer","Independent Candidate","12/10/2015","","LUK SAU CHING"
"Q06","PO YEE","NG Shuet-shan","","M","","","2/10/2015","","NG SHUET SHAN"
"Q06","PO YEE","TSE Ching-fung","","M","Registered Social Worker","Democratic Party","10/10/2015","","TSE CHING FUNG"
"Q06","PO YEE","CHAN Yin-chu","","F","Mediator","","15/10/2015","","CHAN YIN CHU"
"Q07","WAI KING","WONG Shing-kwong","Jack","M","Retire","","10/10/2015","","WONG SHING KWONG"
"Q07","WAI KING","CHAN Kai-wai","","M","District Councillor","Independent Candidate","14/10/2015","","CHAN KAI WAI"
"Q08","DO SHIN","MOK Ruby","","F","Director","Independent","5/10/2015","","MOK RUBY"
"Q08","DO SHIN","SHUEN Pak-man Andrew","","M","Media Commentator","Independent Candidate","6/10/2015","","SHUEN PAK MAN ANDREW"
"Q08","DO SHIN","CHEUNG Chin-pang","","M","Director","*Independent","7/10/2015","","CHEUNG CHIN PANG"
"Q08","DO SHIN","SO Ho","","M","Assistant to Member of Legislative Council","People Power/The Frontier","9/10/2015","","SO HO"
"Q09","KIN MING","CHAU Ka-lok","","M","","*DAB","2/10/2015","","CHAU KA LOK"
"Q09","KIN MING","LEUNG Li","","M","District Councilor","Neo Democrats","3/10/2015","","LEUNG LI"
"Q10","CHOI KIN","NG Jacob","","M","","*DAB","2/10/2015","","NG JACOB"
"Q10","CHOI KIN","HO Man-kit Raymond","","M","Sai Kung District Council Elected Member","Independent Candidate","6/10/2015","","HO MAN KIT RAYMOND"
"Q11","O TONG","KO Wing-luen","","M","","","2/10/2015","","KO WING LUEN"
"Q11","O TONG","LUI Man-kwong","","M","","Neo Democrats","3/10/2015","","LUI MAN KWONG"
"Q11","O TONG","AU-YEUNG Ho-kwan","","M","","Independent Candidate","13/10/2015","","AU YEUNG HO KWAN"
"Q12","FU KWAN","SHEK Yuen-hon","","M","","","7/10/2015","","SHEK YUEN HON"
"Q12","FU KWAN","LUK Ping-choi","","M","Teacher","","10/10/2015","","LUK PING CHOI"
"Q12","FU KWAN","LUI Kim-ho","Kim","M","Project Engineer","*Independent Non-affiliated","13/10/2015","","LUI KIM HO"
"Q13","KWAN PO","WONG Tin-yau","","M","Solicitor","*Independent Candidate","2/10/2015","","WONG TIN YAU"
"Q13","KWAN PO","LAI Ming-chak","","M","Legislative Assistant","Neo Democrats","3/10/2015","","LAI MING CHAK"
"Q13","KWAN PO","LEE Sun Antony","","M","Certified Public Accountant (Practising)","","8/10/2015","","LEE SUN ANTONY"
"Q13","KWAN PO","CHAN Chin-chun","Cyrus","M","Full-Time Community Officer","Independent Democrat","9/10/2015","","CHAN CHIN CHUN"
"Q13","KWAN PO","LEE Kwok-pui","","M","Retired Civil Servant","","12/10/2015","","LEE KWOK PUI"
"Q14","NAM ON","YU Kai-chun","","M","","","2/10/2015","","YU KAI CHUN"
"Q14","NAM ON","CHAU Yin-ming Francis","","M","Social Worker","Independent Candidate","12/10/2015","","CHAU YIN MING FRANCIS"
"Q15","HONG KING","CHAN Kin-chun Ken","","M","","New People's Party/ Civil Force","5/10/2015","","CHAN KIN CHUN KEN"
"Q15","HONG KING","LAM Siu-chung Frankie","","M","","The Democratic Party","10/10/2015","","LAM SIU CHUNG FRANKIE"
"Q16","TSUI LAM","TAM Lanny","","M","*Registered Social Worker/District Councillor","New People's Party/ Civil Force","5/10/2015","","TAM LANNY"
"Q16","TSUI LAM","CHAN Yuen-pan","","M","","","10/10/2015","","CHAN YUEN PAN"
"Q17","PO LAM","AU Ning-fat Alfred","","M","","","5/10/2015","","AU NING FAT ALFRED"
"Q17","PO LAM","CHEUNG Chi-tung","","M","","","10/10/2015","","CHEUNG CHI TUNG"
"Q17","PO LAM","WONG Lok-yin","Rocky","M","Director","Liberal Party","14/10/2015","","WONG LOK YIN"
"Q18","YAN YING","CHUNG Kam-lun","Ben","M","District Council Member","Neo Democrats","3/10/2015","","CHUNG KAM LUN"
"Q18","YAN YING","CHEUNG Sze-ngao Eddie","","M","","New People's Party/ Civil Force","5/10/2015","Withdrawn on 10.10.2015","CHEUNG SZE NGAO EDDIE"
"Q18","YAN YING","YEUNG Ho-chuen","Harris","M","","Liberal Party","9/10/2015","","YEUNG HO CHUEN"
"Q18","YAN YING","LIU Tsz-chung Michael","","M","","New People's Party/ Civil Force","13/10/2015","","LIU TSZ CHUNG MICHAEL"
"Q19","WAN HANG","SUN Wai-kei","","M","Solicitor","","2/10/2015","","SUN WAI KEI"
"Q19","WAN HANG","FAN Gary Kwok-wai","","M","","Neo Democrats","3/10/2015","","FAN GARY KWOK WAI"
"Q19","WAN HANG","LAI Tze-wah","","M","*Media Worker","Independent","7/10/2015","","LAI TZE WAH"
"Q20","KING LAM","WAN Kai-ming","","M","","DAB","2/10/2015","","WAN KAI MING"
"Q20","KING LAM","LAM Wing-yin","","M","District Councillor","Democratic Party","10/10/2015","","LAM WING YIN"
"Q21","HAU TAK","LING Man-hoi","","M","","DAB","2/10/2015","","LING MAN HOI"
"Q21","HAU TAK","TSANG Ho-man","","M","","The Democratic Party","10/10/2015","","TSANG HO MAN"
"Q22","FU NAM","CHAN Pok-chi","","M","District Councilor","DAB","2/10/2015","","CHAN POK CHI"
"Q22","FU NAM","CHAN Yiu-ming","","M","Community Adviser","Independent Democrat","10/10/2015","","CHAN YIU MING"
"Q23","TAK MING","WAN Yuet-cheung","","M","District Council Member","New People's Party/ Civil Force","5/10/2015","","WAN YUET CHEUNG"
"Q24","SHEUNG TAK","CHOI Kin-ching","CHOI Chun Hiu","M","Interior Designer","","2/10/2015","","CHOI KIN CHING"
"Q24","SHEUNG TAK","KAN Siu-kei","","M","","","2/10/2015","","KAN SIU KEI"
"Q24","SHEUNG TAK","WONG Fai","","M","","People Power/The Frontier","9/10/2015","","WONG FAI"
"Q25","KWONG MING","CHONG Yuen-tung","","M","Full-time District Councilor","DAB","2/10/2015","","CHONG YUEN TUNG"
"Q25","KWONG MING","SHI Hau-kit Simon","*","M","","","5/10/2015","","SHI HAU KIT SIMON"
"Q25","KWONG MING","CHOI Ming-hei","","M","Assistant Engineer","*Independent Democrat","13/10/2015","`","CHOI MING HEI"
"Q26","WAN PO NORTH","CHUI Ting-pong","","M","","Liberal Party","2/10/2015","","CHUI TING PONG"
"Q26","WAN PO NORTH","FONG Kwok-shan Christine","","F","","Independent Candidate","13/10/2015","","FONG KWOK SHAN CHRISTINE"
"Q27","WAN PO SOUTH","WU Cheuk-him","","M","Legislative  Councilor¡¦s Assistant","DAB","2/10/2015","","WU CHEUK HIM"
"Q27","WAN PO SOUTH","CHEUNG Mei-hung","","M","Full Time Assistant of Wan Po District Council","Independent Candidate","12/10/2015","","CHEUNG MEI HUNG"
"R01","SHA TIN TOWN CENTRE","WONG Chi-yung","Alf WONG","M","Director of Technology Company","DAB","7/10/2015","","WONG CHI YUNG"
"R01","SHA TIN TOWN CENTRE","WAI Hing-cheung","","M","Senior Vice President","Democratic Coalition for DC Election","13/10/2015","","WAI HING CHEUNG"
"R02","LEK YUEN","WONG Ho-ming","","M","Social Policy Officer","League of Social Democrats","7/10/2015","","WONG HO MING"
"R02","LEK YUEN","WONG Yue-hon","","M","District Council Member","Civil Force/New People¡¦s Party","8/10/2015","","WONG YUE HON"
"R03","WO CHE ESTATE","LEE Tak-wah","","M","Technical Manager","","6/10/2015","","LEE TAK WAH"
"R03","WO CHE ESTATE","YUE Shin-man Anna","Anna","F","Full Time District Councilor","DAB","7/10/2015","","YUE SHIN MAN ANNA"
"R03","WO CHE ESTATE","LEE Wai-fung","Deco","M","Community Officer","People Power","7/10/2015","","LEE WAI FUNG"
"R04","CITY ONE","WONG Ka-wing","","M","District Councillor","New People¡¦s Party","8/10/2015","","WONG KA WING"
"R05","YUE SHING","LEUNG Ka-fai","","M","District Councillor","New People's Party/ Civil Force","8/10/2015","","LEUNG KA FAI"
"R06","WONG UK","LAI Tsz-yan","","M","Full-time Community Service","Independent","10/10/2015","","LAI TSZ YAN"
"R06","WONG UK","LEUNG Chi-wai","","M","Full-time District Councilor","Liberal Party","12/10/2015","","LEUNG CHI WAI"
"R07","SHA KOK","CHAN Billy Shiu-yeung","","M","Councilor Assistant","Neo Democrats","2/10/2015","","CHAN BILLY SHIU YEUNG"
"R07","SHA KOK","Yeung Sin-hung","","F","District Council Member","New People's Party/ Civil Force","5/10/2015","","YEUNG SIN HUNG"
"R08","POK HONG","CHIU Chu-pong","","M","Councillor Assistant","Neo Democrats","2/10/2015","","CHIU CHU PONG"
"R08","POK HONG","CHAN Kwok-tim","","M","District Councilor","Civil Force/ New People¡¦s Party","2/10/2015","","CHAN KWOK TIM"
"R09","JAT MIN","YIP Ka-ming Michael","","M","* Senior Manager (Property and Facility)","New People¡¦s Party/ Civil Force","2/10/2015","","YIP KA MING MICHAEL"
"R09","JAT MIN","YAU Man-chun","","M","District Councillor","Neo Democrats","2/10/2015","","YAU MAN CHUN"
"R09","JAT MIN","CHAU Ping-him","","M","District Development Officer","BPA","2/10/2015","","CHAU PING HIM"
"R10","CHUN FUNG","LEUNG Ka-wai","","M","","New People¡¦s Party/ Civil Force","2/10/2015","","LEUNG KA WAI"
"R10","CHUN FUNG","CHAN Nok-hang","","M","District Councillor","The Democratic Party","2/10/2015","","CHAN NOK HANG"
"R11","SUN TIN WAI","LI Lok-yan","","F","Assistant of Legislative Council Member","FTU","2/10/2015","","LI LOK YAN"
"R11","SUN TIN WAI","CHING Cheung-ying","","M","Secondary School Teacher","Democratic Party","2/10/2015","","CHING CHEUNG YING"
"R12","CHUI TIN","HUI Yui-yu","","M","Research Officer","Neo Democrats","2/10/2015","","HUI YUI YU"
"R12","CHUI TIN","WONG Chak-piu Philip","","M","District Councillor","Civil Force/New People¡¦s Party","8/10/2015","","WONG CHAK PIU PHILIP"
"R13","HIN KA","LAM Chung-yan","","F","District Councilor, Registered Social Worker","Civil Force/New People¡¦s Party","3/10/2015","","LAM CHUNG YAN"
"R13","HIN KA","MOK Wai-hung","","M","R.S.W. Register Social Worker/Licensed Salesperson","The Democratic Party","7/10/2015","","MOK WAI HUNG"
"R14","LOWER SHING MUN","TONG Hok-leung","","M","","","2/10/2015","","TONG HOK LEUNG"
"R14","LOWER SHING MUN","LEE Yuen-kam","","M","","","2/10/2015","","LEE YUEN KAM"
"R14","LOWER SHING MUN","CHONG Yiu-kan Sherman","","M","District Councillor/ Certified Public Accountant (Practising)","","5/10/2015","","CHONG YIU KAN SHERMAN"
"R15","WAN SHING","HO Hau-cheung","","M","District Councilor","New People¡¦s Party/ Civil Force","2/10/2015","","HO HAU CHEUNG"
"R15","WAN SHING","WONG Leung-hi","","M","Company Director","Independent Democrats","9/10/2015","","WONG LEUNG HI"
"R15","WAN SHING","CHEUNG Tak-wing","","M","Retired Photojournalist","","14/10/2015","","CHEUNG TAK WING"
"R16","KENG HAU","HO Kwok-wah George","","M","Certified Public Accountant (Practising)","Civil Force/New People¡¦s Party","3/10/2015","","HO KWOK WAH GEORGE"
"R16","KENG HAU","NG Kam-hung","","M","Shatin District Councillor","The Democratic Party","7/10/2015","","NG KAM HUNG"
"R16","KENG HAU","YEUNG Wai-yip","","M","","","15/10/2015","","YEUNG WAI YIP"
"R17","TIN SUM","PUN Kwok-shan","","M","District Councilor","New People¡¦s Party/ Civil Force","5/10/2015","","PUN KWOK SHAN"
"R18","CHUI KA","WAI Tak-lun","","M","Community Development Officer","New People¡¦s Party/Civil Force","2/10/2015","","WAI TAK LUN"
"R18","CHUI KA","LI Sai-hung","","M","Executive Officer","Neo Democrats","2/10/2015","","LI SAI HUNG"
"R18","CHUI KA","LEE Kam-ming","","M","Shatin District Council Member","","12/10/2015","","LEE KAM MING"
"R19","TAI WAI","TUNG Kin-lei","","F","Full-time District Councilor","DAB","7/10/2015","","TUNG KIN LEI"
"R19","TAI WAI","LEUNG Chun-hin","","M","","Shatin Community Network","8/10/2015","","LEUNG CHUN HIN"
"R20","CHUNG TIN","TANG Wing-cheong","","M","","Civil Force/New People¡¦s Party","2/10/2015","","TANG WING CHEONG"
"R20","CHUNG TIN","LO Yuet-chau","","M","Secondary School Teacher","","6/10/2015","","LO YUET CHAU"
"R20","CHUNG TIN","WONG Hok-lai","","M","Full-time Community Officer","Shatin Community Network","9/10/2015","","WONG HOK LAI"
"R21","SUI WO","PANG Cheung-wai Thomas","","M","","DAB","7/10/2015","","PANG CHEUNG WAI THOMAS"
"R21","SUI WO","YAU Chi-kin","","M","System Analyst","Civic Party","10/10/2015","","YAU CHI KIN"
"R21","SUI WO","LI Sui-ha","Lisa","F","Owner of Flower Shop","","13/10/2015","","LI SUI HA"
"R22","FO TAN","PONG Scarlett Oi-lan","","F","Pharmacist","","5/10/2015","","PONG SCARLETT OI LAN"
"R22","FO TAN","CHAN Man-fai","","M","Project Officer","Civic Party","10/10/2015","","CHAN MAN FAI"
"R23","CHUN MA","HO Wai-lok","Ronald","M","","Liberal Party","2/10/2015","","HO WAI LOK"
"R23","CHUN MA","SIU Hin-hong","","M","Full Time District Councilor","","6/10/2015","","SIU HIN HONG"
"R23","CHUN MA","CHENG Wing-chung","PC","M","IT Manager","","15/10/2015","","CHENG WING CHUNG"
"R24","CHUNG ON","YIP Wing","","M","* Councilor Assistant","Labour Party","3/10/2015","","YIP WING"
"R24","CHUNG ON","QUAT Elizabeth","EQ","F","Legislative Councilor/District Councilor","DAB","7/10/2015","","QUAT ELIZABETH"
"R25","KAM TO","YEUNG Man-yui","Gary","M","District Councilor/Digital Communications Consultant","DAB","7/10/2015","","YEUNG MAN YUI"
"R25","KAM TO","CHAN Kwok-keung","James","M","Director","","14/10/2015","","CHAN KWOK KEUNG"
"R26","MA ON SHAN TOWN CENTRE","LEE Chi-wing Alvin","","M","Secondary School Teacher","","3/10/2015","","LEE CHI WING ALVIN"
"R26","MA ON SHAN TOWN CENTRE","MAN Chi-wai","","M","","Independent Democrats","15/10/2015","","MAN CHI WAI"
"R27","LEE ON","KONG Cheuk-wai","","M","","","5/10/2015","","KONG CHEUK WAI"
"R27","LEE ON","LO Tai-suen Ada","","F","Center-In-Charge","DAB","8/10/2015","","LO TAI SUEN ADA"
"R27","LEE ON","MAK Yun-pui","Chris Mak","M","District Council Member / Social Worker","Power for Democracy","13/10/2015","","MAK YUN PUI"
"R28","FU LUNG","LAW Kwong-keung","KK","M","Full Time District Councilor","Civil Force / New People's Party","6/10/2015","","LAW KWONG KEUNG"
"R28","FU LUNG","TSANG So-lai","","F","Councillor Assistant","The Democratic Party","7/10/2015","","TSANG SO LAI"
"R29","WU KAI SHA","SIO Chan-in Devin","","M","Barrister","DAB","7/10/2015","","SIO CHAN IN DEVIN"
"R29","WU KAI SHA","LI Wing-shing","","M","Legislative Councillor's Assistant","Democratic Party","7/10/2015","","LI WING SHING"
"R30","KAM YING","LI Po-mui","","F","","","5/10/2015","","LI PO MUI"
"R30","KAM YING","TING Tsz-yuen","","M","Legislative Councillor's Assistant","The Democratic Party","7/10/2015","","TING TSZ YUEN"
"R30","KAM YING","LAW Siu-chun","","M","Selfemployed: Computer Maintenance Worker","","9/10/2015","","LAW SIU CHUN"
"R30","KAM YING","TONG Po-chun","","F","District Councillor","","14/10/2015","","TONG PO CHUN"
"R31","YIU ON","LI Sai-wing","","M","District Council Member","DAB/NTAS","10/10/2015","","LI SAI WING"
"R31","YIU ON","CHEUNG Pik-ha","","F","","","13/10/2015","","CHEUNG PIK HA"
"R32","HENG ON","LAM Tak-wai","","M","Community Worker","Hong Kong Federation of Trade Unions","2/10/2015","","LAM TAK WAI"
"R32","HENG ON","CHENG Tsuk-man","","M","District Councilor","The Democratic Party","7/10/2015","","CHENG TSUK MAN"
"R33","ON TAI","WONG Ka-sing","","M","Site Supervisor","","5/10/2015","","WONG KA SING"
"R33","ON TAI","CHIU Man-leong","","M","District Councillor","DAB","7/10/2015","","CHIU MAN LEONG"
"R33","ON TAI","YAU Yuet-wah Donna","","F","Company Director","Democratic Party","7/10/2015","","YAU YUET WAH DONNA"
"R34","TAI SHUI HANG","CHEUNG Chi-yin","","M","Community Officer","DAB","7/10/2015","","CHEUNG CHI YIN"
"R34","TAI SHUI HANG","YUNG Ming-chau Michael","","M","District Councilor","","13/10/2015","","YUNG MING CHAU MICHAEL"
"R35","YU YAN","YIU Ka-chun","","M","District Councillor","New People¡¦s Party/ Civil Force","2/10/2015","","YIU KA CHUN"
"R36","BIK WOO","OWEN Oi-ming Emily","","F","Staff","","3/10/2015","","OWEN OI MING EMILY"
"R36","BIK WOO","LAU Wai-lun","","M","Full Time District Councillor","","6/10/2015","","LAU WAI LUN"
"R36","BIK WOO","WONG Ping-fan","","F","Registered Social Worker","DAB","8/10/2015","","WONG PING FAN"
"R37","KWONG HONG","WONG Fu-sang","","M","Trading","DAB","7/10/2015","","WONG FU SANG"
"R37","KWONG HONG","NG Wai-ling","","F","Clerical Officer","Labour Party","3/10/2015","","NG WAI LING"
"R37","KWONG HONG","CHOI Chun-chiu Paul","","M","Multimedia Manufacturing Founder","Independent Person","12/10/2015","","CHOI CHUN CHIU PAUL"
"R38","KWONG YUEN","CHAN Man-kuen","","F","Full-time District Councilor","New People¡¦s Party/ Civil Force","2/10/2015","","CHAN MAN KUEN"
"R38","KWONG YUEN","SUNG Tsz-ming","","M","Driver/Baseball Coach","Labour Party","3/10/2015","","SUNG TSZ MING"
"S01","KWAI HING","LEUNG Chi-ho","","M","","F.T.U.","5/10/2015","","LEUNG CHI HO"
"S01","KWAI HING","LEUNG Chi-shing","","M","Train Captain","The Neighbourhood and Workers¡¦ Service Centre","13/10/2015","","LEUNG CHI SHING"
"S02","KWAI SHING EAST ESTATE","MO Sang-tung","","F","","DAB","2/10/2015","","MO SANG TUNG"
"S02","KWAI SHING EAST ESTATE","LEUNG Kwong-cheong","","M","Marketing Manager","Independent","7/10/2015","","LEUNG KWONG CHEONG"
"S02","KWAI SHING EAST ESTATE","CHOW Wai-hung Rayman","","M","","Neighbourhood and Workers¡¦ Service Centre","13/10/2015","","CHOW WAI HUNG RAYMAN"
"S02","KWAI SHING EAST ESTATE","CHAN Yuk-ling","","F","Community Staff","","14/10/2015","","CHAN YUK LING"
"S03","UPPER TAI WO HAU","HUI Kei-cheung","","M","Full Time District Councilor","Democratic Party","2/10/2015","","HUI KEI CHEUNG"
"S03","UPPER TAI WO HAU","LAU Chin-pang","","M","","FTU","5/10/2015","","LAU CHIN PANG"
"S04","LOWER TAI WO HAU","WONG Bing-kuen","","M","Full Time Member of District Council","The Democratic Party","2/10/2015","","WONG BING KUEN"
"S04","LOWER TAI WO HAU","CHEUNG Wai-man","","M","Sr. Artisan","FTU","5/10/2015","","CHEUNG WAI MAN"
"S05","KWAI CHUNG ESTATE NORTH","LEUNG Kong-ming","","M","Accountant/Community Worker","DAB","8/10/2015","","LEUNG KONG MING"
"S05","KWAI CHUNG ESTATE NORTH","LEUNG Kam-wai","","M","District Council Member","Neighbourhood and Workers¡¦ Service Centre","13/10/2015","","LEUNG KAM WAI"
"S06","KWAI CHUNG ESTATE SOUTH","LEE Wang-fung","","M","Registered Teacher","DAB","8/10/2015","","LEE WANG FUNG"
"S06","KWAI CHUNG ESTATE SOUTH","WONG Yun-tat","","M","District Council Member","Neighbourhood and Workers¡¦ Service Centre","13/10/2015","","WONG YUN TAT"
"S07","SHEK YAM","LI Sai-lung","","M","Community Officer","DAB","2/10/2015","","LI SAI LUNG"
"S07","SHEK YAM","WAN Siu-kin Andrew","","M","District Councillor","The Democratic Party","3/10/2015","","WAN SIU KIN ANDREW"
"S08","ON YAM","LEUNG Tsz-wing Dennis","","M","Teacher","The Hong Kong Federation of Trade Unions (FTU)","7/10/2015","","LEUNG TSZ WING DENNIS"
"S08","ON YAM","LEUNG Wing-kuen","","M","Project Officer, N.G.O.","The Democratic Party","13/10/2015","","LEUNG WING KUEN"
"S09","SHEK LEI SOUTH","NG Ka-chiu","","M","Community Development Officer","New People's Party","5/10/2015","","NG KA CHIU"
"S09","SHEK LEI SOUTH","LEUNG Kwok-wah","","M","Full-time District Council Member","The Democratic Party","9/10/2015","","LEUNG KWOK WAH"
"S10","SHEK LEI NORTH","CHEUNG Ip-mei","","F","Community Officer","DAB","2/10/2015","","CHEUNG IP MEI"
"S10","SHEK LEI NORTH","LAM Siu-fai","","M","Kwai Tsing District Councilor","The Democratic Party","9/10/2015","","LAM SIU FAI"
"S11","TAI PAK TIN","KWOK Fu-yung","","F","Community Officer","DAB","2/10/2015","","KWOK FU YUNG"
"S11","TAI PAK TIN","TSUI Sang-hung Sammy","","M","Full-time District Council Member","The Democratic Party","13/10/2015","","TSUI SANG HUNG SAMMY"
"S12","KWAI FONG","CHAN Man-luen-ying","","M","Register Social Worker","HKFLU","9/10/2015","","CHAN MAN LUEN YING"
"S12","KWAI FONG","LEUNG Yiu-chung","","M","Councilor","Neighbourhood & Worker¡¦s Service Centre","13/10/2015","","LEUNG YIU CHUNG"
"S13","WAH LAI","WONG Yiu-chung","","M","District Councilor","BPA","2/10/2015","","WONG YIU CHUNG"
"S13","WAH LAI","TAI Pui-shan Christabel Donna","","F","Retired","","2/10/2015","","TAI PUI SHAN CHRISTABEL DONNA"
"S13","WAH LAI","YUEN Kwok-ki","","M","Former ¡¥Judiciary¡¦ Court Clerk","Independent Candidate","13/10/2015","","YUEN KWOK KI"
"S14","LAI WAH","CHU Lai-ling","","F","","DAB","2/10/2015","","CHU LAI LING"
"S15","CHO YIU","PAU Ming-hong","","M","Assistant Co-ordinator","DAB","2/10/2015","","PAU MING HONG"
"S15","CHO YIU","LO Wai-lan","","F","","*BPA","9/10/2015","","LO WAI LAN"
"S15","CHO YIU","CHAN Tak-cheung","","M","Secretary General of HKLSD/Postgraduate Student","League of Social Democrats","15/10/2015","","CHAN TAK CHEUNG"
"S16","HING FONG","NG Kim-sing","","M","Kwai Tsing District Councilor","The Democratic Party","2/10/2015","","NG KIM SING"
"S16","HING FONG","LEUNG Kar-ming","","F","","DAB","8/10/2015","","LEUNG KAR MING"
"S17","LAI KING","CHOW Yick-hay","","M","District Council Member","Independent Candidate","9/10/2015","","CHOW YICK HAY"
"S18","KWAI SHING WEST ESTATE","LAU Mei-lo","","F","District Councillor","The Hong Kong Federation of Trade Unions","7/10/2015","","LAU MEI LO"
"S18","KWAI SHING WEST ESTATE","LEUNG Ching-shan","","F","Registered Social Worker","Neighbourhood & Worker¡¦s Service Centre","13/10/2015","","LEUNG CHING SHAN"
"S19","ON HO","TAM Wai-chun","","F","District Councilor","BPA","5/10/2015","","TAM WAI CHUN"
